"Gene","mean","sd"
"ENSG00000058799",6442,2545
"ENSG00000081870",3408,1155
"ENSG00000116212",7029,3343
"ENSG00000116209",12011,6131
"ENSG00000116205",1949,4381
"ENSG00000215883",3715,7556
"ENSG00000116221",9892,5119
"ENSG00000157216",9048,7759
"ENSG00000271723",5069,7713
"ENSG00000243725",4248,5216
"ENSG00000116133",12403,11917
"ENSG00000162402",9050,333
"ENSG00000162407",10551,11234
"ENSG00000162600",3945,7198
"ENSG00000185839",3769,4413
"ENSG00000162601",7326,5790
"ENSG00000177606",9560,12209
"ENSG00000162599",9685,6874
"ENSG00000162604",5284,2245
"ENSG00000132849",5721,10139
"ENSG00000162607",4655,694
"ENSG00000116641",4446,3585
"ENSG00000125703",1179,4035
"ENSG00000088035",1916,1761
"ENSG00000203965",488,4938
"ENSG00000142856",3433,7527
"ENSG00000079739",11382,9570
"ENSG00000158966",6961,9513
"ENSG00000162437",5328,5720
"ENSG00000162434",11446,8748
"ENSG00000213625",11576,6786
"ENSG00000116678",1985,9048
"ENSG00000184588",276,11179
"ENSG00000198160",7297,4620
"ENSG00000116704",6249,8212
"ENSG00000142864",11252,2692
"ENSG00000116717",865,11782
"ENSG00000172380",11095,7840
"ENSG00000116729",9073,9153
"ENSG00000066557",1904,1793
"ENSG00000116754",11884,5665
"ENSG00000118454",4163,3746
"ENSG00000132485",9664,6143
"ENSG00000172260",164,10801
"ENSG00000254685",2764,3061
"ENSG00000116791",7338,10112
"ENSG00000162623",5597,2504
"ENSG00000117054",10814,8787
"ENSG00000137955",9687,2699
"ENSG00000226415",11250,9761
"ENSG00000226084",11665,8867
"ENSG00000142892",5230,5457
"ENSG00000036549",6862,2970
"ENSG00000077254",9559,2839
"ENSG00000219201",1667,5006
"ENSG00000180488",4149,3937
"ENSG00000162614",7134,9075
"ENSG00000162613",10733,5706
"ENSG00000162616",8902,11048
"ENSG00000137959",3419,11994
"ENSG00000137965",4678,10976
"ENSG00000162618",2650,10789
"ENSG00000117114",9619,7017
"ENSG00000142875",5825,10506
"ENSG00000117133",3828,312
"ENSG00000174021",6870,4597
"ENSG00000122432",1660,4130
"ENSG00000117151",5458,7052
"ENSG00000162642",2031,2438
"ENSG00000142867",1901,4077
"ENSG00000153904",9041,10830
"ENSG00000142871",7853,12354
"ENSG00000117174",3009,110
"ENSG00000122417",6064,9044
"ENSG00000097033",10411,6519
"ENSG00000183291",11152,5540
"ENSG00000153936",10888,8814
"ENSG00000143013",4131,4441
