"Gene","mean","sd"
"ENSG00000171943",703,5424
"ENSG00000266338",6486,7319
"ENSG00000196369",311,6213.5
"ENSG00000272419",4170,10033
"ENSG00000162825",3633,3708
"ENSG00000272150",2246,2855
"ENSG00000117262",3540,165.5
"ENSG00000265491",8727.5,2580
"ENSG00000186141",3666,272
"ENSG00000186364",731,1033
"ENSG00000131788",5511,1394.5
"ENSG00000131779",6884,1622
"ENSG00000211451",793,1428
"ENSG00000265241",9529.5,941
"ENSG00000271601",4172,5397
"ENSG00000234222",335,223
"ENSG00000280778",1177,44
"ENSG00000121851",7045,1158
"ENSG00000265972",12273,12247
"ENSG00000271425",3888.5,3446
"ENSG00000213240",571,3142.5
"ENSG00000264343",623,6072
"ENSG00000268043",6793,5055
"ENSG00000131791",3951,7022
"ENSG00000180867",12240,10226.5
"ENSG00000226015",316,1418
"ENSG00000131778",3284.5,5931
"ENSG00000116128",6218.5,6804
"ENSG00000162836",9857.5,9875.5
"ENSG00000188092",1616,337
"ENSG00000198658",1244,5028.5
"ENSG00000263956",5361.5,5281.5
"ENSG00000270629",8149.5,2943
"ENSG00000177144",696,9940
"ENSG00000178104",6735,8831.5
"ENSG00000269713",7111,6866.5
"ENSG00000271383",5895.5,5079.5
"ENSG00000277147",625,7467
"ENSG00000184678",3009,10590
"ENSG00000178096",2535.5,4529
"ENSG00000143368",8300.5,4052.5
"ENSG00000264522",6799,9979.5
"ENSG00000136631",7356,278.5
"ENSG00000023902",4435,11702.5
"ENSG00000143401",6520,4990
"ENSG00000117362",11808,1540.5
"ENSG00000118292",1631,1859
"ENSG00000266472",9480.5,5275
"ENSG00000117360",8544,4952
"ENSG00000163125",9128,5069
"ENSG00000143374",5102,946
"ENSG00000143369",1401.5,10818
"ENSG00000143382",2186,11200
"ENSG00000143384",12037,11275
"ENSG00000143420",11958.5,1188.5
"ENSG00000143457",6421,3227.5
"ENSG00000163131",4308,12219.5
"ENSG00000143387",4452.5,11888
"ENSG00000143437",8405,1875
"ENSG00000143379",8082.5,3215
"ENSG00000259357",10935,2304.5
"ENSG00000143418",12188,732
"ENSG00000143409",10022.5,9268
"ENSG00000143363",9033,6225
"ENSG00000143443",6088,2343
"ENSG00000213190",1140.5,8431.5
"ENSG00000197622",10363,6108.5
"ENSG00000143458",5028,6911
"ENSG00000163155",1831,4036
"ENSG00000163156",3418.5,4481
"ENSG00000163159",6017,1002
"ENSG00000143398",7017.5,5990
"ENSG00000159352",10617,3288
"ENSG00000143373",6776,2725
"ENSG00000143393",11117.5,667
"ENSG00000143390",7465,5321
"ENSG00000143416",12289,10612.5
"ENSG00000159377",11676.5,4753
"ENSG00000143442",10969.5,6629.5
"ENSG00000143375",4744,10752
"ENSG00000143367",2512.5,12014
"ENSG00000143376",8176,2533.5
"ENSG00000269621",1382.5,4536
"ENSG00000143436",7404,2033.5
"ENSG00000182134",3327,3496
"ENSG00000159445",5304,2474.5
"ENSG00000197747",7126,11625.5
"ENSG00000163191",10810.5,11001
"ENSG00000197956",12329.5,11026.5
"ENSG00000196154",8661,11784
"ENSG00000188643",9031.5,8645
"ENSG00000189171",12214.5,10050.5
"ENSG00000271853",10887,8349.5
"ENSG00000272030",7005.5,11133.5
"ENSG00000160679",11188,303
"ENSG00000143553",5919.5,542.5
"ENSG00000143621",11327,4300
"ENSG00000169418",6475,10411
"ENSG00000279767",8249,7170
"ENSG00000143624",10721,5722
"ENSG00000143554",5241,9049
"ENSG00000143614",6712,6119
"ENSG00000198837",7570,6672
"ENSG00000160741",9019,2901.5
"ENSG00000143570",11181,3068.5
